,Unnamed: 0,channelId,videoId,videoTitle,publishTime,publishedAt,title_lowered,is_trailer
52,52,UCIrgJInjLS2BhlHOMDW7v0g,1gvcNY5ywqw,Among the Stars | Official Trailer | Disney+,2021-09-15T00:13:31Z,2021-09-15T00:13:31Z,among the stars | official trailer | disney+,True
53,53,UCIrgJInjLS2BhlHOMDW7v0g,ocYDDO_04lQ,The Wonderful Autumn of Mickey Mouse | Official Trailer | Disney+,2022-10-12T16:00:17Z,2022-10-12T16:00:17Z,the wonderful autumn of mickey mouse | official trailer | disney+,True
54,54,UCIrgJInjLS2BhlHOMDW7v0g,E0JxDffw9J8,BTS: PERMISSION TO DANCE ON STAGE – LA | Official Trailer | Disney+,2022-09-08T07:23:33Z,2022-09-08T07:23:33Z,bts: permission to dance on stage – la | official trailer | disney+,True
55,55,UCIrgJInjLS2BhlHOMDW7v0g,_1PSRHVtmIo,Trevor: The Musical | Official Trailer | Disney+,2022-06-01T15:01:10Z,2022-06-01T15:01:10Z,trevor: the musical | official trailer | disney+,True
56,56,UCIrgJInjLS2BhlHOMDW7v0g,qc4pXgZHSB8,HSMTMTS Season 3 | Official Trailer | Disney+,2022-06-29T16:29:27Z,2022-06-29T16:29:27Z,hsmtmts season 3 | official trailer | disney+,True
57,57,UCIrgJInjLS2BhlHOMDW7v0g,gh0KJImjkqc,X-Men: The Animated Series | Unofficial Official Trailer | Disney+,2020-10-28T00:43:37Z,2020-10-28T00:43:37Z,x-men: the animated series | unofficial official trailer | disney+,True
58,58,UCIrgJInjLS2BhlHOMDW7v0g,Aofd2grKYCs,Disney+ “This Is Me” Pride Celebration Spectacular | Official Trailer | Disney+,2021-06-25T22:54:02Z,2021-06-25T22:54:02Z,disney+ “this is me” pride celebration spectacular | official trailer | disney+,True
60,60,UCIrgJInjLS2BhlHOMDW7v0g,OB0LMEINdrE,The Proud Family: Louder and Prouder Season 2 | Official Trailer | Disney+,2022-09-10T23:51:43Z,2022-09-10T23:51:43Z,the proud family: louder and prouder season 2 | official trailer | disney+,True
62,62,UCIrgJInjLS2BhlHOMDW7v0g,ZpkRgaXNGyo,Stuntman | Official Trailer | Disney+,2021-07-16T14:00:08Z,2021-07-16T14:00:08Z,stuntman | official trailer | disney+,True
63,63,UCIrgJInjLS2BhlHOMDW7v0g,mj93w1BBqHU,OLIVIA RODRIGO: driving home 2 u (a SOUR film) | Teaser Trailer | Disney+,2022-02-17T17:12:06Z,2022-02-17T17:12:06Z,olivia rodrigo: driving home 2 u (a sour film) | teaser trailer | disney+,True
65,65,UCIrgJInjLS2BhlHOMDW7v0g,-lnw6DFZTYo,The Wonderful World of Mickey Mouse | Official Trailer | Disney+,2020-11-11T00:00:06Z,2020-11-11T00:00:06Z,the wonderful world of mickey mouse | official trailer | disney+,True
68,68,UCIrgJInjLS2BhlHOMDW7v0g,IPNmW1Mug-4,Mija | Official Trailer | Disney+,2022-08-19T19:01:47Z,2022-08-19T19:01:47Z,mija | official trailer | disney+,True
69,69,UCIrgJInjLS2BhlHOMDW7v0g,xDlGkFoj1TY,Wolfgang | Official Trailer | Disney+,2021-06-08T17:00:38Z,2021-06-08T17:00:38Z,wolfgang | official trailer | disney+,True
70,70,UCIrgJInjLS2BhlHOMDW7v0g,Pi-dyFk5pgo,IN THE SOOP : Friendcation | Official Trailer | Disney+,2022-10-05T13:00:48Z,2022-10-05T13:00:48Z,in the soop : friendcation | official trailer | disney+,True
73,73,UCIrgJInjLS2BhlHOMDW7v0g,E0JxDffw9J8,BTS: PERMISSION TO DANCE ON STAGE – LA | Official Trailer | Disney+,2022-09-08T07:23:33Z,2022-09-08T07:23:33Z,bts: permission to dance on stage – la | official trailer | disney+,True
76,76,UCIrgJInjLS2BhlHOMDW7v0g,EtyHX7z8fi8,TRON | Original Trailer | Disney+,2019-11-08T16:00:04Z,2019-11-08T16:00:04Z,tron | original trailer | disney+,True
77,77,UCIrgJInjLS2BhlHOMDW7v0g,nswae1s320k,Escape to Witch Mountain | Unofficial Official Trailer | Disney+,2020-10-28T00:42:59Z,2020-10-28T00:42:59Z,escape to witch mountain | unofficial official trailer | disney+,True
81,81,UCIrgJInjLS2BhlHOMDW7v0g,Ptlg57Ilpso,It’s A Dog’s Life | Official Trailer | Disney+,2020-04-24T17:08:43Z,2020-04-24T17:08:43Z,it’s a dog’s life | official trailer | disney+,True
82,82,UCIrgJInjLS2BhlHOMDW7v0g,32g-9Jbwlc4,The Computer Wore Tennis Shoes | Unofficial Official Trailer | Disney+,2020-10-28T00:42:50Z,2020-10-28T00:42:50Z,the computer wore tennis shoes | unofficial official trailer | disney+,True
85,85,UCIrgJInjLS2BhlHOMDW7v0g,P1_KHFbCzIY,A Celebration of the Music from Coco | Official Trailer | Disney+,2020-03-18T14:53:53Z,2020-03-18T14:53:53Z,a celebration of the music from coco | official trailer | disney+,True
87,87,UCIrgJInjLS2BhlHOMDW7v0g,W-BW0a3tNHA,Diary of a Future President Season 2 | Official Trailer | Disney+,2021-08-05T16:00:08Z,2021-08-05T16:00:08Z,diary of a future president season 2 | official trailer | disney+,True
88,88,UCIrgJInjLS2BhlHOMDW7v0g,xa5-32KLFRE,Diary of a Future President | Official Trailer #2 | Disney+,2020-01-16T23:14:19Z,2020-01-16T23:14:19Z,diary of a future president | official trailer #2 | disney+,True
89,89,UCIrgJInjLS2BhlHOMDW7v0g,iv3yDQ83Jcc,The Cat from Outer Space | Unofficial Official Trailer | Disney+,2020-10-28T00:42:43Z,2020-10-28T00:42:43Z,the cat from outer space | unofficial official trailer | disney+,True
91,91,UCIrgJInjLS2BhlHOMDW7v0g,gn3gK27HIsw,The Love Bug | Unofficial Official Trailer | Disney+,2020-10-28T00:43:02Z,2020-10-28T00:43:02Z,the love bug | unofficial official trailer | disney+,True
92,92,UCIrgJInjLS2BhlHOMDW7v0g,BnpTgHVmH_0,Becoming | Official Trailer | Disney+,2020-08-18T13:41:40Z,2020-08-18T13:41:40Z,becoming | official trailer | disney+,True
93,93,UCIrgJInjLS2BhlHOMDW7v0g,qFn9Tmjj-hY,The Shaggy D.A. | Unofficial Official Trailer | Disney+,2020-10-28T00:43:32Z,2020-10-28T00:43:32Z,the shaggy d.a. | unofficial official trailer | disney+,True
95,95,UCIrgJInjLS2BhlHOMDW7v0g,HLdY__1EKic,Chip &#39;n&#39; Dale: Park Life | Official Trailer | Disney+,2021-07-20T16:12:16Z,2021-07-20T16:12:16Z,chip &#39;n&#39; dale: park life | official trailer | disney+,True
96,96,UCIrgJInjLS2BhlHOMDW7v0g,uwEf0JKIFOc,The Quest | Teaser Trailer | Disney+,2022-04-02T19:00:58Z,2022-04-02T19:00:58Z,the quest | teaser trailer | disney+,True
97,97,UCIrgJInjLS2BhlHOMDW7v0g,YrdjmuREFrc,Say It With Pride: Disney+ Celebrates Pride 365 | Official Trailer | Disney+,2022-06-23T14:10:08Z,2022-06-23T14:10:08Z,say it with pride: disney+ celebrates pride 365 | official trailer | disney+,True
103,103,UCIrgJInjLS2BhlHOMDW7v0g,4pdtZC0e8MM,Encore! | Official Trailer #2 | Disney+,2019-10-28T18:00:00Z,2019-10-28T18:00:00Z,encore! | official trailer #2 | disney+,True
108,108,UCIrgJInjLS2BhlHOMDW7v0g,CxwTLktovTU,Toy Story | Original Trailer | Disney+,2019-11-08T18:00:03Z,2019-11-08T18:00:03Z,toy story | original trailer | disney+,True
110,110,UCIrgJInjLS2BhlHOMDW7v0g,CxwTLktovTU,Toy Story | Original Trailer | Disney+,2019-11-08T18:00:03Z,2019-11-08T18:00:03Z,toy story | original trailer | disney+,True
119,119,UCIrgJInjLS2BhlHOMDW7v0g,5Ku6GTKB2OU,Disney+: Bridging the Gap | Trailer | Disney+ YouTube,2022-01-18T19:04:27Z,2022-01-18T19:04:27Z,disney+: bridging the gap | trailer | disney+ youtube,True
120,120,UCIrgJInjLS2BhlHOMDW7v0g,hz6stWWu6XI,Diary of a Future President | Official Trailer | Disney+,2020-01-06T22:31:02Z,2020-01-06T22:31:02Z,diary of a future president | official trailer | disney+,True
122,122,UCIrgJInjLS2BhlHOMDW7v0g,4pdtZC0e8MM,Encore! | Official Trailer #2 | Disney+,2019-10-28T18:00:00Z,2019-10-28T18:00:00Z,encore! | official trailer #2 | disney+,True
123,123,UCIrgJInjLS2BhlHOMDW7v0g,Ahu3shMjKxE,Short Circuit | Official Trailer | Disney+,2020-01-24T21:19:28Z,2020-01-24T21:19:28Z,short circuit | official trailer | disney+,True
129,129,UCIrgJInjLS2BhlHOMDW7v0g,VgR3DLLm_j4,Encore! | Official Trailer | Disney+,2019-08-24T00:36:41Z,2019-08-24T00:36:41Z,encore! | official trailer | disney+,True
130,130,UCIrgJInjLS2BhlHOMDW7v0g,krv321vG4og,The Making of Happier Than Ever: A Love Letter to Los Angeles | Official Trailer | Disney+,2021-11-10T00:14:48Z,2021-11-10T00:14:48Z,the making of happier than ever: a love letter to los angeles | official trailer | disney+,True
131,131,UCIrgJInjLS2BhlHOMDW7v0g,fZWoS5vW8J8,Shop Class | Official Trailer | Disney+,2020-02-06T19:15:46Z,2020-02-06T19:15:46Z,shop class | official trailer | disney+,True
133,133,UCIrgJInjLS2BhlHOMDW7v0g,rV2UYw1ixRA,The World According to Jeff Goldblum | Official Trailer #2 | Disney+,2019-10-28T17:00:06Z,2019-10-28T17:00:06Z,the world according to jeff goldblum | official trailer #2 | disney+,True
135,135,UCIrgJInjLS2BhlHOMDW7v0g,pYr2shJhO2Y,Pentatonix: Around the World for the Holidays | Official Trailer | Disney+,2022-11-03T16:00:35Z,2022-11-03T16:00:35Z,pentatonix: around the world for the holidays | official trailer | disney+,True
136,136,UCIrgJInjLS2BhlHOMDW7v0g,oqZ3fq-hYxo,Turning the Tables with Robin Roberts | Official Trailer | Disney+,2021-06-21T13:05:05Z,2021-06-21T13:05:05Z,turning the tables with robin roberts | official trailer | disney+,True
138,138,UCIrgJInjLS2BhlHOMDW7v0g,WluwGWAyfqU,Disney’s Launchpad | Official Trailer | Disney+,2021-04-14T19:00:14Z,2021-04-14T19:00:14Z,disney’s launchpad | official trailer | disney+,True
144,144,UCIrgJInjLS2BhlHOMDW7v0g,5Ku6GTKB2OU,Disney+: Bridging the Gap | Trailer | Disney+ YouTube,2022-01-18T19:04:27Z,2022-01-18T19:04:27Z,disney+: bridging the gap | trailer | disney+ youtube,True
