,Unnamed: 0,channelId,videoId,videoTitle,publishTime,publishedAt,title_lowered,is_trailer
81,81,UCwSIJCMWZC5GDM59wj7pMsg,7W9uB1cQtZ0,Modern Love - Official Trailer | Prime Video,2019-09-12T15:00:09Z,2019-09-12T15:00:09Z,modern love - official trailer | prime video,True
82,82,UCwSIJCMWZC5GDM59wj7pMsg,Jg4BJVXgIxw,Man in the High Castle Season 2 - Launch Trailer | Prime Video,2016-10-08T18:52:48Z,2016-10-08T18:52:48Z,man in the high castle season 2 - launch trailer | prime video,True
83,83,UCwSIJCMWZC5GDM59wj7pMsg,ycGRitcszLI,The Terminal List | Official Trailer | Prime Video,2022-06-08T15:24:26Z,2022-06-08T15:24:26Z,the terminal list | official trailer | prime video,True
84,84,UCwSIJCMWZC5GDM59wj7pMsg,t6CmgYbMyWQ,The Underground Railroad | Official Trailer | Prime Video,2021-04-15T16:00:31Z,2021-04-15T16:00:31Z,the underground railroad | official trailer | prime video,True
85,85,UCwSIJCMWZC5GDM59wj7pMsg,ycGRitcszLI,The Terminal List | Official Trailer | Prime Video,2022-06-08T15:24:26Z,2022-06-08T15:24:26Z,the terminal list | official trailer | prime video,True
86,86,UCwSIJCMWZC5GDM59wj7pMsg,AMvcRgA8Zvs,Birds of Paradise | Official Trailer | Prime Video,2021-09-08T15:59:53Z,2021-09-08T15:59:53Z,birds of paradise | official trailer | prime video,True
87,87,UCwSIJCMWZC5GDM59wj7pMsg,9CdykRxgmH0,Invincible | Official Trailer | Prime Video,2021-02-19T18:19:48Z,2021-02-19T18:19:48Z,invincible | official trailer | prime video,True
88,88,UCwSIJCMWZC5GDM59wj7pMsg,sXF4YvnUXdU,Inside Edge Season 1 - Official Trailer | Prime Video,2017-07-10T11:58:00Z,2017-07-10T11:58:00Z,inside edge season 1 - official trailer | prime video,True
89,89,UCwSIJCMWZC5GDM59wj7pMsg,3JYzZD1aZwc,Bliss | Official Trailer | Prime Video,2021-01-20T11:29:52Z,2021-01-20T11:29:52Z,bliss | official trailer | prime video,True
90,90,UCwSIJCMWZC5GDM59wj7pMsg,5fDKSdNFQsQ,Selah and The Spades | Official Trailer | Prime Video,2020-04-03T16:04:37Z,2020-04-03T16:04:37Z,selah and the spades | official trailer | prime video,True
92,92,UCwSIJCMWZC5GDM59wj7pMsg,GvF1Tx-Lq7Q,The Romanoffs – Official Trailer | Prime Video,2018-09-12T15:59:52Z,2018-09-12T15:59:52Z,the romanoffs – official trailer | prime video,True
93,93,UCwSIJCMWZC5GDM59wj7pMsg,xyYaUflEwK0,The Grand Tour Presents: Carnage A Trois | Official Trailer | Prime Video,2021-11-25T09:59:47Z,2021-11-25T09:59:47Z,the grand tour presents: carnage a trois | official trailer | prime video,True
94,94,UCwSIJCMWZC5GDM59wj7pMsg,pI5w1I6IX40,Palm Springs | Official Trailer | Prime Video,2020-11-04T19:00:41Z,2020-11-04T19:00:41Z,palm springs | official trailer | prime video,True
95,95,UCwSIJCMWZC5GDM59wj7pMsg,nBDlOzS4R1k,All or Nothing: A Season with the Los Angeles Rams - Official Trailer | Prime Video,2017-05-15T17:14:40Z,2017-05-15T17:14:40Z,all or nothing: a season with the los angeles rams - official trailer | prime video,True
96,96,UCwSIJCMWZC5GDM59wj7pMsg,iAFvll9rYzA,Evil Eye | Official Trailer | Welcome To The Blumhouse | Prime Video,2020-09-16T18:00:11Z,2020-09-16T18:00:11Z,evil eye | official trailer | welcome to the blumhouse | prime video,True
97,97,UCwSIJCMWZC5GDM59wj7pMsg,OBb8o2cpXHY,Crossing Lines: Trailer 2 | Prime Video,2013-11-15T12:24:19Z,2013-11-15T12:24:19Z,crossing lines: trailer 2 | prime video,True
98,98,UCwSIJCMWZC5GDM59wj7pMsg,NjGhBnNI8nY,Man in the High Castle - Comic Con Trailer | Prime Video,2015-07-10T23:30:02Z,2015-07-10T23:30:02Z,man in the high castle - comic con trailer | prime video,True
99,99,UCwSIJCMWZC5GDM59wj7pMsg,tXTsCcD8iek,The Outpost | Official Trailer | Prime Video,2021-05-28T10:21:38Z,2021-05-28T10:21:38Z,the outpost | official trailer | prime video,True
100,100,UCwSIJCMWZC5GDM59wj7pMsg,qTb6B_F2Jg8,Vikings Season 4 - Extended Trailer | Prime Video,2016-02-16T11:16:19Z,2016-02-16T11:16:19Z,vikings season 4 - extended trailer | prime video,True
101,101,UCwSIJCMWZC5GDM59wj7pMsg,IFQvBtZXAUQ,American Gods Season 3 | Official Teaser Trailer | Prime Video,2020-10-10T08:00:03Z,2020-10-10T08:00:03Z,american gods season 3 | official teaser trailer | prime video,True
102,102,UCwSIJCMWZC5GDM59wj7pMsg,-UQamk0b0k8,One Night in Miami | Official Trailer | Prime Video,2020-11-21T10:00:00Z,2020-11-21T10:00:00Z,one night in miami | official trailer | prime video,True
103,103,UCwSIJCMWZC5GDM59wj7pMsg,6s6-HiUwVnM,Sneaky Pete Season 3 - Official Trailer | Prime Video,2019-04-22T16:00:03Z,2019-04-22T16:00:03Z,sneaky pete season 3 - official trailer | prime video,True
104,104,UCwSIJCMWZC5GDM59wj7pMsg,NjGhBnNI8nY,Man in the High Castle - Comic Con Trailer | Prime Video,2015-07-10T23:30:02Z,2015-07-10T23:30:02Z,man in the high castle - comic con trailer | prime video,True
105,105,UCwSIJCMWZC5GDM59wj7pMsg,x7PBY_ajVzc,Annedroids Season 2 Trailer | Prime Video,2015-07-01T08:52:29Z,2015-07-01T08:52:29Z,annedroids season 2 trailer | prime video,True
106,106,UCwSIJCMWZC5GDM59wj7pMsg,TKgs57diQQU,Ripper Street Season 3 - Trailer | Prime Video,2014-10-24T12:56:42Z,2014-10-24T12:56:42Z,ripper street season 3 - trailer | prime video,True
107,107,UCwSIJCMWZC5GDM59wj7pMsg,nBxU3fpN554,UnREAL Season 3 - Official Trailer | Prime Video,2018-02-01T09:00:13Z,2018-02-01T09:00:13Z,unreal season 3 - official trailer | prime video,True
